[2020-05-05 17:00:05,396] log_utils.py-><module> line:35 [INFO] : newdream
[2020-05-05 17:04:44,000] base_page.py->set_browser_max line:31 [INFO] : 设置浏览器最大化
[2020-05-05 17:04:49,268] base_page.py->open_url line:19 [INFO] : 打开url地址 http://47.107.178.45/zentao/www/index.php?m=user&f=login 
[2020-05-05 17:04:49,336] base_page.py->find_element line:73 [INFO] : [用户名输入框]元素识别成功
[2020-05-05 17:04:49,665] base_page.py->input line:86 [INFO] : [用户名输入框]元素输入内容：test01
[2020-05-05 17:04:49,700] base_page.py->find_element line:73 [INFO] : [密码输入框]元素识别成功
[2020-05-05 17:04:50,098] base_page.py->input line:86 [INFO] : [密码输入框]元素输入内容：newdream12
[2020-05-05 17:04:50,140] base_page.py->find_element line:73 [INFO] : [登录按钮]元素识别成功
[2020-05-05 17:04:50,363] base_page.py->click line:81 [INFO] : [登录按钮]元素进行点击操作
[2020-05-05 17:04:51,367] base_page.py->close_tab line:23 [INFO] : 关闭当前的tab页签
[2020-05-05 17:04:54,709] base_page.py->set_browser_max line:31 [INFO] : 设置浏览器最大化
[2020-05-05 17:04:59,410] base_page.py->open_url line:19 [INFO] : 打开url地址 http://47.107.178.45/zentao/www/index.php?m=user&f=login 
[2020-05-05 17:04:59,575] base_page.py->find_element line:73 [INFO] : [用户名输入框]元素识别成功
[2020-05-05 17:04:59,791] base_page.py->input line:86 [INFO] : [用户名输入框]元素输入内容：test01
[2020-05-05 17:04:59,842] base_page.py->find_element line:73 [INFO] : [密码输入框]元素识别成功
[2020-05-05 17:05:00,279] base_page.py->input line:86 [INFO] : [密码输入框]元素输入内容：newdream123
[2020-05-05 17:05:00,313] base_page.py->find_element line:73 [INFO] : [登录按钮]元素识别成功
[2020-05-05 17:05:00,507] base_page.py->click line:81 [INFO] : [登录按钮]元素进行点击操作
[2020-05-05 17:05:01,922] base_page.py->find_element line:73 [INFO] : [用户菜单]元素识别成功
[2020-05-05 17:05:02,456] base_page.py->close_tab line:23 [INFO] : 关闭当前的tab页签
[2020-05-05 17:12:47,431] selenium_base_case.py->setUpClass line:10 [INFO] : 
[2020-05-05 17:12:47,431] selenium_base_case.py->setUpClass line:11 [INFO] : ==============测试类开始执行=============
[2020-05-05 17:12:47,432] selenium_base_case.py->setUp line:15 [INFO] : ---------测试方法开始执行-----------
[2020-05-05 17:12:51,288] browser.py->__get_chrome_driver line:33 [INFO] : 初始化并启动谷歌浏览器
[2020-05-05 17:12:51,519] base_page.py->set_browser_max line:31 [INFO] : 设置浏览器最大化
[2020-05-05 17:12:58,165] base_page.py->open_url line:19 [INFO] : 打开url地址 http://47.107.178.45/zentao/www/index.php?m=user&f=login 
[2020-05-05 17:12:58,387] base_page.py->find_element line:73 [INFO] : [用户名输入框]元素识别成功
[2020-05-05 17:12:58,777] base_page.py->input line:86 [INFO] : [用户名输入框]元素输入内容：test01
[2020-05-05 17:12:58,831] base_page.py->find_element line:73 [INFO] : [密码输入框]元素识别成功
[2020-05-05 17:12:59,347] base_page.py->input line:86 [INFO] : [密码输入框]元素输入内容：newdream12
[2020-05-05 17:12:59,387] base_page.py->find_element line:73 [INFO] : [登录按钮]元素识别成功
[2020-05-05 17:12:59,526] base_page.py->click line:81 [INFO] : [登录按钮]元素进行点击操作
[2020-05-05 17:13:00,061] selenium_base_case.py->tearDown line:22 [INFO] : ---------测试方法执行完毕-----------
[2020-05-05 17:13:00,537] base_page.py->close_tab line:23 [INFO] : 关闭当前的tab页签
[2020-05-05 17:13:00,538] selenium_base_case.py->setUp line:15 [INFO] : ---------测试方法开始执行-----------
[2020-05-05 17:13:04,377] browser.py->__get_chrome_driver line:33 [INFO] : 初始化并启动谷歌浏览器
[2020-05-05 17:13:04,636] base_page.py->set_browser_max line:31 [INFO] : 设置浏览器最大化
[2020-05-05 17:13:10,426] base_page.py->open_url line:19 [INFO] : 打开url地址 http://47.107.178.45/zentao/www/index.php?m=user&f=login 
[2020-05-05 17:13:10,704] base_page.py->find_element line:73 [INFO] : [用户名输入框]元素识别成功
[2020-05-05 17:13:11,010] base_page.py->input line:86 [INFO] : [用户名输入框]元素输入内容：test01
[2020-05-05 17:13:11,033] base_page.py->find_element line:73 [INFO] : [密码输入框]元素识别成功
[2020-05-05 17:13:11,534] base_page.py->input line:86 [INFO] : [密码输入框]元素输入内容：newdream123
[2020-05-05 17:13:11,562] base_page.py->find_element line:73 [INFO] : [登录按钮]元素识别成功
[2020-05-05 17:13:11,791] base_page.py->click line:81 [INFO] : [登录按钮]元素进行点击操作
[2020-05-05 17:13:13,334] base_page.py->find_element line:73 [INFO] : [用户菜单]元素识别成功
[2020-05-05 17:13:13,483] selenium_base_case.py->tearDown line:22 [INFO] : ---------测试方法执行完毕-----------
[2020-05-05 17:13:13,924] base_page.py->close_tab line:23 [INFO] : 关闭当前的tab页签
[2020-05-05 17:25:10,254] selenium_base_case.py->setUpClass line:10 [INFO] : 
[2020-05-05 17:25:10,255] selenium_base_case.py->setUpClass line:11 [INFO] : ==============测试类开始执行=============
[2020-05-05 17:25:10,255] selenium_base_case.py->setUp line:15 [INFO] : ---------测试方法开始执行-----------
[2020-05-05 17:25:13,721] browser.py->__get_chrome_driver line:33 [INFO] : 初始化并启动谷歌浏览器
[2020-05-05 17:25:13,983] base_page.py->set_browser_max line:31 [INFO] : 设置浏览器最大化
